                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.80368,                0.52303,                0.84672,                0.98349,                0.85215,                0.92984,                 0.6856,                0.83704,                0.47797,                0.85336,              0.0005075,              0.0005075,              0.0005075
                     62,                0.76526,                0.51762,                0.83159,                0.93984,                0.89101,                0.93481,                0.71848,                0.78178,                0.45943,                 0.8434,             0.00049513,             0.00049513,             0.00049513
                     63,                0.78234,                0.51743,                0.83153,                  0.959,                0.88843,                0.93311,                 0.7318,                0.76382,                0.44824,                0.84372,             0.00048275,             0.00048275,             0.00048275
                     64,                0.75608,                0.49939,                0.83385,                0.97677,                0.86681,                0.94051,                0.73405,                0.77386,                0.44837,                 0.8463,             0.00047038,             0.00047038,             0.00047038
                     65,                0.80762,                 0.5108,                0.83722,                0.96519,                0.87723,                0.94366,                0.69824,                0.80124,                0.46072,                0.84285,               0.000458,               0.000458,               0.000458
                     66,                0.78818,                 0.5225,                0.84494,                0.94737,                0.88588,                0.93287,                0.71025,                 0.7943,                0.44889,                 0.8514,             0.00044563,             0.00044563,             0.00044563
                     67,                0.72723,                0.48204,                0.83641,                0.96766,                0.88675,                0.94406,                0.74361,                0.73613,                0.43169,                0.84156,             0.00043325,             0.00043325,             0.00043325
                     68,                0.75236,                 0.4889,                0.83568,                0.97112,                0.87485,                0.94015,                0.72272,                0.75443,                0.43865,                0.84337,             0.00042087,             0.00042087,             0.00042087
                     69,                0.76413,                0.48947,                0.85049,                0.95907,                0.87645,                0.94714,                0.71966,                0.77398,                0.44272,                0.84352,              0.0004085,              0.0004085,              0.0004085
                     70,                0.73758,                0.48793,                0.83177,                0.97787,                0.87206,                 0.9405,                0.70907,                0.75041,                0.45241,                  0.839,             0.00039613,             0.00039613,             0.00039613
                     71,                0.70953,                0.46069,                0.82442,                0.97098,                 0.8578,                0.93831,                0.72796,                0.73962,                 0.4363,                0.83596,             0.00038375,             0.00038375,             0.00038375
                     72,                0.74501,                0.47671,                0.83758,                 0.9832,                0.84898,                0.93739,                0.71144,                 0.7776,                0.43964,                 0.8385,             0.00037138,             0.00037138,             0.00037138
                     73,                0.70342,                0.46368,                0.83203,                0.95672,                0.88931,                0.94312,                0.73782,                0.69336,                0.40933,                0.83271,               0.000359,               0.000359,               0.000359
                     74,                0.70919,                0.46817,                0.83511,                0.96434,                0.88104,                0.93889,                0.73469,                0.71309,                0.42644,                0.83772,             0.00034663,             0.00034663,             0.00034663
                     75,                0.70753,                0.46107,                0.82895,                0.96655,                0.86262,                0.94586,                0.73539,                   0.73,                0.43131,                0.83575,             0.00033425,             0.00033425,             0.00033425
                     76,                0.69581,                0.44719,                0.83184,                0.96884,                0.86096,                0.94254,                0.73409,                0.71606,                0.43168,                0.83785,             0.00032188,             0.00032188,             0.00032188
                     77,                0.71479,                0.44992,                0.83103,                0.94701,                0.89691,                0.94513,                0.75157,                0.69196,                0.40157,                0.83104,              0.0003095,              0.0003095,              0.0003095
                     78,                0.70186,                0.44798,                 0.8271,                0.95444,                0.88267,                0.94759,                  0.736,                0.73647,                0.41866,                0.83622,             0.00029713,             0.00029713,             0.00029713
                     79,                0.69889,                0.43459,                0.83092,                0.95874,                0.87997,                0.94694,                0.73537,                0.69708,                0.41122,                0.83545,             0.00028475,             0.00028475,             0.00028475
                     80,                0.68175,                0.43309,                0.82201,                0.97762,                0.87336,                0.94286,                0.75344,                0.69069,                0.41291,                0.83247,             0.00027237,             0.00027237,             0.00027237
                     81,                0.72083,                 0.4473,                0.82859,                0.92563,                0.91491,                0.94968,                0.73132,                0.71128,                0.40764,                0.83179,                0.00026,                0.00026,                0.00026
                     82,                0.69081,                0.43218,                0.82229,                0.97799,                0.87829,                0.95104,                0.73572,                0.72322,                 0.4069,                 0.8336,             0.00024762,             0.00024762,             0.00024762
                     83,                0.70361,                0.44774,                0.82083,                0.99175,                0.88308,                 0.9541,                0.73129,                0.70987,                0.39997,                0.83188,             0.00023525,             0.00023525,             0.00023525
                     84,                0.67679,                0.42187,                0.81871,                0.97911,                0.92291,                0.95937,                0.74557,                0.72074,                0.39456,                0.83365,             0.00022288,             0.00022288,             0.00022288
                     85,                0.65485,                0.41719,                0.81485,                0.97845,                0.90821,                0.95419,                0.74507,                0.72689,                0.38933,                0.83409,              0.0002105,              0.0002105,              0.0002105
                     86,                0.65575,                0.41417,                0.81344,                0.98197,                 0.9115,                0.95624,                0.74947,                0.72787,                0.38514,                0.83239,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.6568,                0.41112,                0.82265,                0.97062,                0.91198,                0.95697,                0.74964,                0.71946,                0.38319,                0.83302,             0.00018575,             0.00018575,             0.00018575
                     88,                0.66072,                0.40915,                0.82521,                0.96903,                0.91055,                0.95745,                0.74621,                0.70528,                0.37458,                0.82914,             0.00017338,             0.00017338,             0.00017338
                     89,                0.66424,                0.41586,                0.81952,                0.95503,                0.92895,                0.95562,                0.74922,                0.69331,                0.37276,                0.82893,               0.000161,               0.000161,               0.000161
                     90,                0.67451,                0.41917,                0.82059,                 0.9813,                0.91186,                0.95855,                0.75558,                 0.6876,                0.37273,                0.82914,             0.00014862,             0.00014862,             0.00014862
                     91,                0.67138,                0.42824,                0.82129,                0.98504,                0.90152,                0.95227,                0.77784,                0.61134,                0.36097,                0.82105,             0.00013625,             0.00013625,             0.00013625
                     92,                0.62433,                0.38376,                0.80947,                0.96713,                0.90494,                0.95148,                0.77246,                0.60057,                0.36686,                0.81883,             0.00012387,             0.00012387,             0.00012387
                     93,                0.62266,                0.39771,                0.81153,                0.96008,                0.90523,                0.95143,                0.79233,                0.57975,                0.35768,                 0.8173,              0.0001115,              0.0001115,              0.0001115
                     94,                0.62376,                0.38169,                0.82381,                 0.9797,                0.89431,                0.95098,                0.78765,                0.59246,                0.35722,                0.82128,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.60331,                0.38394,                0.82255,                0.98926,                0.89354,                0.95405,                0.79636,                0.57251,                 0.3493,                 0.8179,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.61106,                0.38738,                0.82079,                0.98615,                0.89985,                0.95532,                0.78063,                0.59833,                0.35942,                0.81982,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.59799,                0.37615,                0.81831,                0.97917,                0.89725,                0.95449,                0.79438,                0.58823,                0.34979,                0.81873,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.58302,                0.36785,                0.81683,                0.98291,                0.89913,                0.95493,                0.79122,                0.58501,                0.34605,                0.81803,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.58582,                0.36617,                0.81567,                0.99271,                0.89945,                 0.9556,                0.78992,                0.59017,                0.34535,                0.81854,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.60613,                0.37281,                0.80939,                0.99057,                0.90064,                0.95588,                0.79306,                 0.5802,                0.34326,                0.81742,             2.4875e-05,             2.4875e-05,             2.4875e-05
